time,x,y,z,abs,file,roadtype,weight,weather,makers,second
0.84990725,0.008628197098,0.01224480048,-0.1916085792,0.1921932063,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.85995625,-0.02082478546,-0.1215339388,-0.3491319841,0.3702665422,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.87000625,0.002826196868,-0.1053273574,-0.153583551,0.1862518369,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.88005525,0.02206490681,-0.09052776217,0.1555248266,0.1813011515,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.89010425,0.2530564385,-0.1987242021,0.06959414542,0.329199354,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.90015325,0.5000766136,-0.2053777488,0.04134039938,0.5421860085,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.91020325,0.5967327695,-0.01582753569,-0.04931249321,0.5989759853,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.92025225,0.5967140949,0.1573935968,-0.1764520115,0.6418533849,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.93030125,0.6173428159,0.03954881251,-0.1405810976,0.6343810416,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.94035025,0.7047008756,0.1565863886,-0.2265065163,0.7565896002,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.95040025,0.880820619,0.2467429988,-0.1253350675,0.9232745797,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.96044925,0.8965316489,0.4319241723,-0.1214349747,1.002533761,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.97049825,0.7376556368,0.4373139895,0.1216940063,0.8661343979,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.98054725,0.2252561258,0.6032272719,-0.06943451643,0.6476454399,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.99059625,-0.02531597698,0.5442177562,0.06404045999,0.5485572399,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
1.00064625,-0.1805549844,0.7014898771,-0.05555439591,0.7264808607,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.01069525,-0.2575087826,0.7801900376,-0.007965077162,0.8216268681,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.02074425,-0.3378027114,0.6743554343,-0.2078995067,0.7823606128,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.03079325,-0.5848458917,0.6491169512,-0.2476102871,0.9081345647,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.04084325,-0.7663504091,0.7012650517,-0.06284119606,1.040679892,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.05089225,-0.8444342731,0.5324465802,0.1162958568,1.005033994,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.06094125,-0.9814047881,0.2939599961,0.1796153551,1.040110337,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.07099025,-1.046714313,0.2949332651,0.2763996381,1.122048682,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.08104025,-1.154218443,0.3649489948,0.2312199569,1.232424704,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.09108925,-1.198337439,0.4704513301,-0.1151737761,1.292517725,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.10113825,-1.01416988,0.460908528,-0.4164989251,1.18930592,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.11118725,-0.871380801,0.5631818846,-0.4874233121,1.146324483,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.12123725,-0.8080017342,0.7377649797,-0.484993794,1.19682202,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.13128625,-0.770593368,0.612556943,-0.4508729517,1.082740304,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.14133525,-0.6716252232,0.5492095242,-0.2609220582,0.9059756412,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.15138425,-0.4172348703,0.9740655823,-0.09064353704,1.063534177,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.16143425,-0.1648088529,0.9731012303,0.05934573054,0.9887415628,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.17148325,-0.3331684276,1.011770475,-0.1474311107,1.075368136,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.18153225,-0.531142505,1.380546911,-0.1858479023,1.490825804,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.19158125,-0.6835344665,1.749303321,-0.4328284442,1.92733545,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.20163125,-0.4718238178,1.914580718,-0.3473725569,2.002224946,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.21168025,-0.1699041715,1.767648667,-0.2746372873,1.796907031,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.22172925,-0.09301117516,1.727570097,0.1213139373,1.73432021,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.23177825,-0.4139099242,1.947962472,0.2532002252,2.007483393,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.24182725,-0.650017057,1.691227459,0.3464030886,1.844659208,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.25187725,-0.7495588137,1.663795539,-0.05749859512,1.825749189,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.26192625,-0.4434109179,2.027799624,-0.4117749596,2.11616237,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.27197525,-0.2295207377,2.026097207,-0.5572408211,2.11382757,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.28202425,-0.3667737646,1.85091258,-0.7320760775,2.02394065,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.29207425,-0.2948990407,1.916258284,-0.8540232682,2.118576645,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.30212325,-0.1668707639,2.13025556,-0.7965691119,2.280429116,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.31217225,-0.1971083423,2.095847035,-0.6130834848,2.192555096,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.32222125,-0.1547615823,1.913913843,-0.24743604,1.936037691,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.33227125,-0.312752801,1.884461272,0.1120817685,1.91352317,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.34232025,-0.6824585058,1.630342157,0.5676395094,1.856335038,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.35236925,-0.6234510367,1.519489327,0.4199020046,1.695245322,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.36241825,-0.2195837419,1.467421772,0.06590104401,1.485222752,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.37246825,-0.1646360677,1.717236313,-0.5566701329,1.812701637,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.38251725,-0.4857048519,1.693222383,-0.9507005471,2.001684983,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.39256625,-1.088029277,1.707496021,-1.162673224,2.334771808,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.40261525,-1.495495424,1.757681357,-0.8387889326,2.455507522,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.41266525,-1.612222074,1.691451261,-0.721711303,2.445635825,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.42271425,-1.83436379,1.459336096,-0.2793290931,2.360630657,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.43276325,-2.044464335,1.431859883,0.1001850235,2.49801805,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.44281225,-2.292932993,1.325439097,0.2807716012,2.663299308,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.45286125,-2.861610091,1.406215019,0.4849066705,3.22511821,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.46291125,-2.661868912,1.491501921,0.7373239535,3.13907163,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.47296025,-2.179656639,1.022990113,0.8378504544,2.549393108,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.48300925,-1.711670348,1.024149908,0.2460169208,2.009781764,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.49305825,-1.220009851,1.493963307,-1.023768523,2.183678637,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.50310825,-1.260763629,1.760877299,-1.783050526,2.805259875,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.51315725,-1.038863695,1.329967911,-1.519179132,2.270673393,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.52320625,-0.6229013984,0.9613543202,-0.8058837265,1.400591611,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.53325525,-0.4389912268,1.088637534,-0.1481637669,1.183130373,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.54330525,0.2580286366,1.222444047,-0.1554675239,1.259014844,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.55335425,0.3330138418,1.298237849,-0.1228862536,1.345890324,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.56340325,0.3702631637,1.322901551,0.2974244714,1.405569152,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.57345225,0.5258395189,1.339642276,0.04095448315,1.439731189,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.58350225,0.7011617021,1.374994103,-0.1431106031,1.55007005,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.59355125,1.198122554,1.821525059,-0.7052075368,2.291455621,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.60360025,2.023715636,1.556204579,-0.1765005434,2.558974425,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.61364925,1.037158136,1.116447769,-0.04254434109,1.524454866,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.62369825,1.208819231,1.36055762,0.282935071,1.841850489,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
1.63374825,1.316995279,1.356229072,0.08371517122,1.892311309,Asfalt_0_second_1.csv,asphalt,0.0,Dry,Laurence & Doris,1
