time_s;acc_x_ms2;acc_y_ms2;acc_z_ms2;acc_abs_ms2;source_file
9.007959923;-0.435396403;-0.735398293;1.487685204;1.715688766;sample_10_Gras_combo3_cut10.csv
10.00796008;0.887983978;1.091559172;-0.990525246;1.720801334;sample_10_Gras_combo3_cut11.csv
11.00795961;0.614157319;0.478975773;0.86055851;1.160675645;sample_10_Gras_combo3_cut12.csv
12.0079583;0.68499887;-0.054559529;1.141319275;1.332219907;sample_10_Gras_combo3_cut13.csv
13.00795876;0.606788874;-0.164698541;2.445453644;2.524987499;sample_10_Gras_combo3_cut14.csv
14.00795891;1.967941046;-0.724613547;-0.475553513;2.150350645;sample_10_Gras_combo3_cut15.csv
15.00795991;-0.828924656;0.567111254;-3.332655907;3.48070778;sample_10_Gras_combo3_cut16.csv
16.00796014;0.50328362;-1.360408068;1.368339539;1.994080642;sample_10_Gras_combo3_cut17.csv
17.00796446;0.17808786;-0.366541386;-1.285133362;1.348197178;sample_10_Gras_combo3_cut18.csv
18.00796496;-0.05932416;-0.204512239;-0.078390121;0.22691325;sample_10_Gras_combo3_cut19.csv
19.00796645;0.448304772;-1.869822025;0.103414536;1.925592413;sample_10_Gras_combo3_cut20.csv
20.00796495;0.856533766;0.472990573;-0.379351616;1.049417849;sample_10_Gras_combo3_cut21.csv
0;-0.005386412;0.00405401;0.062976837;0.063336644;sample_11_Kiesel_combo3_cut01.csv
1.000004091;-0.013810635;0.053760886;0.062635422;0.083690875;sample_11_Kiesel_combo3_cut02.csv
2.00000695;-0.405000538;-0.492996484;2.118065834;2.212074557;sample_11_Kiesel_combo3_cut03.csv
3.000008656;3.305682659;4.018346786;-5.277163506;7.411012306;sample_11_Kiesel_combo3_cut04.csv
4.007926163;0.113101155;0.822537065;-2.29406929;2.439695268;sample_11_Kiesel_combo3_cut05.csv
5.007926236;-0.490099937;0.68886745;-1.346701622;1.590075964;sample_11_Kiesel_combo3_cut06.csv
6.007926618;1.406536937;0.462484002;2.355259895;2.781993311;sample_11_Kiesel_combo3_cut07.csv
7.007929767;-0.774131537;-0.352326155;1.112092018;1.40005786;sample_11_Kiesel_combo3_cut08.csv
8.007928302;-0.504441261;1.108221531;-1.11644268;1.651986745;sample_11_Kiesel_combo3_cut09.csv
9.007928683;1.004054427;1.139631987;-0.189723015;1.530647307;sample_11_Kiesel_combo3_cut10.csv
10.00793115;1.044958353;-0.42102015;2.138735771;2.417309791;sample_11_Kiesel_combo3_cut11.csv
11.00787542;-0.401006937;0.904142499;-1.795593739;2.049984657;sample_11_Kiesel_combo3_cut12.csv
12.00787406;1.098406315;-0.33844766;2.396712303;2.658058147;sample_11_Kiesel_combo3_cut13.csv
13.00787509;0.792638779;-0.003674924;-1.143657684;1.391489359;sample_11_Kiesel_combo3_cut14.csv
14.00787265;0.117780656;0.185932666;2.074433327;2.086076908;sample_11_Kiesel_combo3_cut15.csv
15.0078713;0.288400799;0.478359073;-0.21405983;0.598183947;sample_11_Kiesel_combo3_cut16.csv
16.00787171;-0.646970332;-1.852877855;-0.656212807;2.069382083;sample_11_Kiesel_combo3_cut17.csv
17.00787051;1.401457787;-0.896684885;2.862915993;3.311255909;sample_11_Kiesel_combo3_cut18.csv
18.00786939;-0.265191197;1.317614079;-0.93463707;1.637064349;sample_11_Kiesel_combo3_cut19.csv
19.00786888;-0.0768677;1.01127243;-1.35004425;1.688549688;sample_11_Kiesel_combo3_cut20.csv
20.00794378;0.896388829;0.173238993;1.29858017;1.587398859;sample_11_Kiesel_combo3_cut21.csv
